country,year,sex,age,suicides_no,population
Belarus,1986,female,5-14 years,4.0,723500.0
Belarus,1986,female,55-74 years,145.0,1063200.0
Belarus,1986,female,75+ years,51.0,320800.0
Belarus,1986,male,15-24 years,140.0,756500.0
Belarus,1986,male,25-34 years,266.0,822100.0
Belarus,1986,male,35-54 years,635.0,1156900.0
Belarus,1986,male,5-14 years,3.0,753900.0
Belarus,1986,male,55-74 years,280.0,642300.0
Belarus,1986,male,75+ years,59.0,123000.0
Belarus,1987,female,15-24 years,35.0,733000.0
Belarus,1987,female,25-34 years,52.0,826200.0
Belarus,1987,female,35-54 years,143.0,1263300.0
Belarus,1987,female,5-14 years,1.0,728900.0
Belarus,1987,female,55-74 years,176.0,1078300.0
Belarus,1987,female,75+ years,47.0,329400.0
Belarus,1987,male,15-24 years,126.0,734500.0
Belarus,1987,male,25-34 years,305.0,833900.0
Belarus,1987,male,35-54 years,651.0,1162900.0
Belarus,1987,male,5-14 years,9.0,757400.0
Belarus,1987,male,55-74 years,295.0,665800.0
Belarus,1987,male,75+ years,81.0,124500.0
Belarus,1988,female,15-24 years,30.0,715500.0
Belarus,1988,female,25-34 years,52.0,838300.0
Belarus,1988,female,35-54 years,121.0,1263300.0
Belarus,1988,female,5-14 years,5.0,739200.0
Belarus,1988,female,55-74 years,143.0,1093400.0
Belarus,1988,female,75+ years,67.0,335800.0
Belarus,1988,male,15-24 years,112.0,715900.0
Belarus,1988,male,25-34 years,299.0,846200.0
Belarus,1988,male,35-54 years,657.0,1171300.0
Belarus,1988,male,5-14 years,10.0,765300.0
Belarus,1988,male,55-74 years,290.0,686500.0
Belarus,1988,male,75+ years,83.0,125800.0
Belarus,1989,female,15-24 years,34.0,708000.0
Belarus,1989,female,25-34 years,56.0,844200.0
Belarus,1989,female,35-54 years,144.0,1274000.0
Belarus,1989,female,5-14 years,3.0,752700.0
Belarus,1989,female,55-74 years,148.0,1097300.0
Belarus,1989,female,75+ years,51.0,339800.0
Belarus,1989,male,15-24 years,100.0,705900.0
Belarus,1989,male,25-34 years,388.0,852300.0
Belarus,1989,male,35-54 years,799.0,1186300.0
Belarus,1989,male,5-14 years,16.0,778300.0
Belarus,1989,male,55-74 years,401.0,699900.0
Belarus,1989,male,75+ years,69.0,126000.0
Belarus,1990,female,15-24 years,24.0,706500.0
Belarus,1990,female,25-34 years,45.0,839200.0
Belarus,1990,female,35-54 years,144.0,1284200.0
Belarus,1990,female,5-14 years,3.0,763600.0
Belarus,1990,female,55-74 years,158.0,1101700.0
Belarus,1990,female,75+ years,61.0,339400.0
Belarus,1990,male,15-24 years,132.0,702900.0
Belarus,1990,male,25-34 years,359.0,844900.0
Belarus,1990,male,35-54 years,729.0,1199400.0
Belarus,1990,male,5-14 years,8.0,789500.0
Belarus,1990,male,55-74 years,363.0,714100.0
Belarus,1990,male,75+ years,59.0,123400.0
Belarus,1991,female,15-24 years,30.0,702100.0
Belarus,1991,female,25-34 years,42.0,823200.0
Belarus,1991,female,35-54 years,121.0,1294600.0
Belarus,1991,female,5-14 years,2.0,781100.0
Belarus,1991,female,55-74 years,175.0,1136700.0
Belarus,1991,female,75+ years,72.0,325800.0
Belarus,1991,male,15-24 years,143.0,699100.0
Belarus,1991,male,25-34 years,342.0,826400.0
Belarus,1991,male,35-54 years,756.0,1217200.0
Belarus,1991,male,5-14 years,14.0,807600.0
Belarus,1991,male,55-74 years,401.0,747600.0
Belarus,1991,male,75+ years,71.0,114800.0
Belarus,1992,female,15-24 years,31.0,708000.0
Belarus,1992,female,25-34 years,50.0,811300.0
Belarus,1992,female,35-54 years,157.0,1309400.0
Belarus,1992,female,5-14 years,4.0,793700.0
Belarus,1992,female,55-74 years,160.0,1171400.0
Belarus,1992,female,75+ years,68.0,314000.0
Belarus,1992,male,15-24 years,166.0,708800.0
Belarus,1992,male,25-34 years,397.0,812400.0
Belarus,1992,male,35-54 years,845.0,1236700.0
Belarus,1992,male,5-14 years,30.0,821500.0
Belarus,1992,male,55-74 years,459.0,774900.0
Belarus,1992,male,75+ years,57.0,108800.0
Belarus,1993,female,15-24 years,37.0,713800.0
Belarus,1993,female,25-34 years,58.0,794600.0
Belarus,1993,female,35-54 years,164.0,1323600.0
Belarus,1993,female,5-14 years,4.0,804600.0
Belarus,1993,female,55-74 years,198.0,1193700.0
Belarus,1993,female,75+ years,64.0,310600.0
Belarus,1993,male,15-24 years,175.0,723100.0
Belarus,1993,male,25-34 years,454.0,789200.0
Belarus,1993,male,35-54 years,1072.0,1254600.0
Belarus,1993,male,5-14 years,18.0,834500.0
Belarus,1993,male,55-74 years,577.0,792900.0
Belarus,1993,male,75+ years,64.0,105900.0
Belarus,1994,female,15-24 years,36.0,719700.0
Belarus,1994,female,25-34 years,60.0,784400.0
Belarus,1994,female,35-54 years,177.0,1336000.0
Belarus,1994,female,5-14 years,2.0,807600.0
Belarus,1994,female,55-74 years,227.0,1206100.0
Belarus,1994,female,75+ years,69.0,307500.0
Belarus,1994,male,15-24 years,208.0,726000.0
Belarus,1994,male,25-34 years,458.0,773000.0
Belarus,1994,male,35-54 years,1156.0,1258800.0
Belarus,1994,male,5-14 years,16.0,833400.0
Belarus,1994,male,55-74 years,671.0,797700.0
Belarus,1994,male,75+ years,73.0,103700.0
Belarus,1995,female,15-24 years,33.0,729900.0
Belarus,1995,female,25-34 years,51.0,762300.0
Belarus,1995,female,35-54 years,181.0,1360000.0
Belarus,1995,female,5-14 years,3.0,807300.0
Belarus,1995,female,55-74 years,197.0,1220800.0
Belarus,1995,female,75+ years,49.0,304600.0
Belarus,1995,male,15-24 years,210.0,734800.0
Belarus,1995,male,25-34 years,475.0,743800.0
Belarus,1995,male,35-54 years,1222.0,1274300.0
Belarus,1995,male,5-14 years,12.0,829500.0
Belarus,1995,male,55-74 years,699.0,805300.0
Belarus,1995,male,75+ years,71.0,101000.0
Belarus,1996,female,15-24 years,43.0,737300.0
Belarus,1996,female,25-34 years,59.0,741800.0
Belarus,1996,female,35-54 years,170.0,1384800.0
Belarus,1996,female,5-14 years,3.0,797600.0
Belarus,1996,female,55-74 years,214.0,1226000.0
Belarus,1996,female,75+ years,57.0,302400.0
Belarus,1996,male,15-24 years,224.0,743800.0
Belarus,1996,male,25-34 years,518.0,722500.0
Belarus,1996,male,35-54 years,1391.0,1298200.0
Belarus,1996,male,5-14 years,13.0,821700.0
Belarus,1996,male,55-74 years,859.0,809000.0
Belarus,1996,male,75+ years,76.0,99700.0
Belarus,1997,female,15-24 years,50.0,744100.0
Belarus,1997,female,25-34 years,75.0,726900.0
Belarus,1997,female,35-54 years,188.0,1415500.0
Belarus,1997,female,5-14 years,2.0,783300.0
Belarus,1997,female,55-74 years,188.0,1218800.0
Belarus,1997,female,75+ years,59.0,305000.0
Belarus,1997,male,15-24 years,247.0,750600.0
Belarus,1997,male,25-34 years,487.0,709000.0
Belarus,1997,male,35-54 years,1326.0,1326100.0
Belarus,1997,male,5-14 years,8.0,809000.0
Belarus,1997,male,55-74 years,819.0,803300.0
Belarus,1997,male,75+ years,77.0,100500.0
Belarus,1998,female,15-24 years,39.0,755800.0
Belarus,1998,female,25-34 years,51.0,716200.0
Belarus,1998,female,35-54 years,192.0,1455000.0
Belarus,1998,female,5-14 years,5.0,761400.0
Belarus,1998,female,55-74 years,185.0,1191300.0
Belarus,1998,female,75+ years,78.0,316400.0
Belarus,1998,male,15-24 years,287.0,762700.0
Belarus,1998,male,25-34 years,511.0,698900.0
Belarus,1998,male,35-54 years,1320.0,1360700.0
Belarus,1998,male,5-14 years,12.0,787800.0
Belarus,1998,male,55-74 years,794.0,784600.0
Belarus,1998,male,75+ years,82.0,104000.0
Belarus,1999,female,15-24 years,48.0,741400.0
Belarus,1999,female,25-34 years,67.0,697900.0
Belarus,1999,female,35-54 years,174.0,1465100.0
Belarus,1999,female,5-14 years,4.0,713600.0
Belarus,1999,female,55-74 years,170.0,1157900.0
Belarus,1999,female,75+ years,66.0,318400.0
Belarus,1999,male,15-24 years,288.0,771500.0
Belarus,1999,male,25-34 years,550.0,692600.0
Belarus,1999,male,35-54 years,1178.0,1378000.0
Belarus,1999,male,5-14 years,22.0,748500.0
Belarus,1999,male,55-74 years,739.0,771900.0
Belarus,1999,male,75+ years,91.0,106400.0
Belarus,2000,female,15-24 years,36.0,754801.0
Belarus,2000,female,25-34 years,54.0,693860.0
Belarus,2000,female,35-54 years,170.0,1497056.0
Belarus,2000,female,5-14 years,6.0,683020.0
Belarus,2000,female,55-74 years,172.0,1125001.0
Belarus,2000,female,75+ years,67.0,331579.0
Belarus,2000,male,15-24 years,306.0,786483.0
Belarus,2000,male,25-34 years,508.0,688963.0
Belarus,2000,male,35-54 years,1334.0,1403903.0
Belarus,2000,male,5-14 years,20.0,717646.0
Belarus,2000,male,55-74 years,721.0,750602.0
Belarus,2000,male,75+ years,89.0,110565.0
Belarus,2001,female,15-24 years,36.0,768639.0
Belarus,2001,female,25-34 years,53.0,691653.0
Belarus,2001,female,35-54 years,164.0,1522267.0
Belarus,2001,female,5-14 years,2.0,647427.0
Belarus,2001,female,55-74 years,162.0,1094844.0
Belarus,2001,female,75+ years,73.0,346664.0
Belarus,2001,male,15-24 years,313.0,801574.0
Belarus,2001,male,25-34 years,477.0,687861.0
Belarus,2001,male,35-54 years,1266.0,1423218.0
Belarus,2001,male,5-14 years,17.0,681448.0
Belarus,2001,male,55-74 years,658.0,731902.0
Belarus,2001,male,75+ years,82.0,116090.0
Belarus,2002,female,15-24 years,32.0,780846.0
Belarus,2002,female,25-34 years,65.0,691146.0
Belarus,2002,female,35-54 years,191.0,1533648.0
Belarus,2002,female,5-14 years,5.0,609886.0
Belarus,2002,female,55-74 years,149.0,1076366.0
Belarus,2002,female,75+ years,69.0,359673.0
Belarus,2002,male,15-24 years,296.0,814826.0
Belarus,2002,male,25-34 years,515.0,688769.0
Belarus,2002,male,35-54 years,1263.0,1429098.0
Belarus,2002,male,5-14 years,20.0,642277.0
Belarus,2002,male,55-74 years,607.0,719837.0
Belarus,2002,male,75+ years,79.0,122862.0
Belarus,2003,female,15-24 years,46.0,789030.0
Belarus,2003,female,25-34 years,57.0,692961.0
Belarus,2003,female,35-54 years,179.0,1536542.0
Belarus,2003,female,5-14 years,3.0,574416.0
Belarus,2003,female,55-74 years,177.0,1062435.0
Belarus,2003,female,75+ years,78.0,374617.0
Belarus,2003,male,15-24 years,285.0,824213.0
Belarus,2003,male,25-34 years,540.0,691958.0
Belarus,2003,male,35-54 years,1304.0,1427642.0
Belarus,2003,male,5-14 years,11.0,605243.0
Belarus,2003,male,55-74 years,669.0,709699.0
Belarus,2003,male,75+ years,107.0,131935.0
Belarus,2007,female,15-24 years,37.0,768164.0
Belarus,2007,female,25-34 years,56.0,711481.0
Belarus,2007,female,35-54 years,163.0,1518188.0
Belarus,2007,female,5-14 years,3.0,474089.0
Belarus,2007,female,55-74 years,127.0,1054993.0
Belarus,2007,female,75+ years,70.0,424470.0
Belarus,2007,male,15-24 years,261.0,801445.0
Belarus,2007,male,25-34 years,405.0,723119.0
Belarus,2007,male,35-54 years,900.0,1399410.0
Belarus,2007,male,5-14 years,9.0,500931.0
Belarus,2007,male,55-74 years,506.0,710519.0
Belarus,2007,male,75+ years,122.0,157647.0
Belarus,2008,female,15-24 years,29.0,745464.0
Belarus,2008,female,25-34 years,66.0,723117.0
Belarus,2008,female,35-54 years,184.0,1514338.0
Belarus,2008,female,5-14 years,2.0,458327.0
Belarus,2008,female,55-74 years,127.0,1059632.0
Belarus,2008,female,75+ years,63.0,432516.0
Belarus,2008,male,15-24 years,234.0,778552.0
Belarus,2008,male,25-34 years,375.0,737364.0
Belarus,2008,male,35-54 years,961.0,1395695.0
Belarus,2008,male,5-14 years,5.0,484885.0
Belarus,2008,male,55-74 years,481.0,716132.0
Belarus,2008,male,75+ years,131.0,159724.0
Belarus,2009,female,15-24 years,45.0,716695.0
Belarus,2009,female,25-34 years,74.0,737605.0
Belarus,2009,female,35-54 years,165.0,1507662.0
Belarus,2009,female,5-14 years,3.0,447324.0
Belarus,2009,female,55-74 years,144.0,1073032.0
Belarus,2009,female,75+ years,74.0,434130.0
Belarus,2009,male,15-24 years,270.0,749519.0
Belarus,2009,male,25-34 years,445.0,754796.0
Belarus,2009,male,35-54 years,903.0,1390214.0
Belarus,2009,male,5-14 years,9.0,473483.0
Belarus,2009,male,55-74 years,466.0,726459.0
Belarus,2009,male,75+ years,145.0,159050.0
Belarus,2010,female,15-24 years,39.0,668827.0
Belarus,2010,female,25-34 years,60.0,715558.0
Belarus,2010,female,35-54 years,145.0,1483086.0
Belarus,2010,female,5-14 years,1.0,437506.0
Belarus,2010,female,55-74 years,83.0,1092687.0
Belarus,2010,female,75+ years,62.0,432426.0
Belarus,2010,male,15-24 years,240.0,707657.0
Belarus,2010,male,25-34 years,382.0,723856.0
Belarus,2010,male,35-54 years,869.0,1353782.0
Belarus,2010,male,5-14 years,5.0,462298.0
Belarus,2010,male,55-74 years,458.0,744533.0
Belarus,2010,male,75+ years,115.0,158977.0
Belarus,2011,female,15-24 years,36.0,639397.0
Belarus,2011,female,25-34 years,42.0,724263.0
Belarus,2011,female,35-54 years,141.0,1470135.0
Belarus,2011,female,5-14 years,1.0,435715.0
Belarus,2011,female,55-74 years,91.0,1104192.0
Belarus,2011,female,75+ years,69.0,441193.0
Belarus,2011,male,15-24 years,185.0,676797.0
Belarus,2011,male,25-34 years,340.0,736247.0
Belarus,2011,male,35-54 years,730.0,1342175.0
Belarus,2011,male,5-14 years,10.0,459834.0
Belarus,2011,male,55-74 years,415.0,755610.0
Belarus,2011,male,75+ years,112.0,161762.0
Belarus,2013,female,15-24 years,25.0,576270.0
Belarus,2013,female,25-34 years,45.0,739769.0
Belarus,2013,female,35-54 years,111.0,1438609.0
Belarus,2013,female,5-14 years,1.0,446842.0
Belarus,2013,female,55-74 years,87.0,1130796.0
Belarus,2013,female,75+ years,65.0,464748.0
Belarus,2013,male,15-24 years,145.0,609560.0
Belarus,2013,male,25-34 years,308.0,759582.0
Belarus,2013,male,35-54 years,609.0,1316641.0
Belarus,2013,male,5-14 years,5.0,471922.0
Belarus,2013,male,55-74 years,376.0,786132.0
Belarus,2013,male,75+ years,125.0,169369.0
Belarus,2014,female,15-24 years,15.0,546952.0
Belarus,2014,female,25-34 years,41.0,745490.0
Belarus,2014,female,35-54 years,93.0,1421531.0
Belarus,2014,female,5-14 years,6.0,455300.0
Belarus,2014,female,55-74 years,68.0,1149649.0
Belarus,2014,female,75+ years,53.0,475110.0
Belarus,2014,male,15-24 years,128.0,578690.0
Belarus,2014,male,25-34 years,297.0,768569.0
Belarus,2014,male,35-54 years,572.0,1305009.0
Belarus,2014,male,5-14 years,2.0,480895.0
Belarus,2014,male,55-74 years,341.0,807337.0
Belarus,2014,male,75+ years,125.0,172445.0
Belgium,1979,female,15-24 years,38.0,774600.0
Belgium,1979,female,25-34 years,81.0,712000.0
Belgium,1979,female,35-54 years,250.0,1203300.0
Belgium,1979,female,5-14 years,2.0,695200.0
Belgium,1979,female,55-74 years,278.0,1002700.0
Belgium,1979,female,75+ years,106.0,351900.0
Belgium,1979,male,15-24 years,108.0,808200.0
Belgium,1979,male,25-34 years,178.0,753500.0
Belgium,1979,male,35-54 years,431.0,1198700.0
Belgium,1979,male,5-14 years,11.0,724700.0
Belgium,1979,male,55-74 years,452.0,830500.0
Belgium,1979,male,75+ years,179.0,194200.0
Belgium,1980,female,15-24 years,42.0,777400.0
Belgium,1980,female,25-34 years,89.0,719000.0
Belgium,1980,female,35-54 years,257.0,1201000.0
Belgium,1980,female,5-14 years,1.0,685600.0
Belgium,1980,female,55-74 years,314.0,1005000.0
Belgium,1980,female,75+ years,103.0,355800.0
Belgium,1980,male,15-24 years,116.0,810600.0
Belgium,1980,male,25-34 years,220.0,760700.0
Belgium,1980,male,35-54 years,440.0,1197200.0
Belgium,1980,male,5-14 years,4.0,714700.0
Belgium,1980,male,55-74 years,426.0,833400.0
Belgium,1980,male,75+ years,166.0,196200.0
Belgium,1981,female,15-24 years,40.0,776500.0
Belgium,1981,female,25-34 years,101.0,720900.0
Belgium,1981,female,35-54 years,225.0,1191900.0
Belgium,1981,female,5-14 years,1.0,664900.0
Belgium,1981,female,55-74 years,278.0,1015500.0
Belgium,1981,female,75+ years,100.0,371000.0
Belgium,1981,male,15-24 years,129.0,809600.0
Belgium,1981,male,25-34 years,224.0,754500.0
Belgium,1981,male,35-54 years,458.0,1190500.0
Belgium,1981,male,5-14 years,6.0,697700.0
Belgium,1981,male,55-74 years,400.0,850400.0
Belgium,1981,male,75+ years,195.0,195700.0
Belgium,1982,female,15-24 years,44.0,771500.0
Belgium,1982,female,25-34 years,77.0,724400.0
Belgium,1982,female,35-54 years,223.0,1199700.0
Belgium,1982,female,5-14 years,2.0,646100.0
Belgium,1982,female,55-74 years,265.0,1020200.0
Belgium,1982,female,75+ years,93.0,384500.0
Belgium,1982,male,15-24 years,142.0,805100.0
Belgium,1982,male,25-34 years,226.0,757300.0
Belgium,1982,male,35-54 years,432.0,1202500.0
Belgium,1982,male,5-14 years,11.0,677800.0
Belgium,1982,male,55-74 years,445.0,858700.0
Belgium,1982,male,75+ years,193.0,200300.0
Belgium,1983,female,15-24 years,37.0,767800.0
Belgium,1983,female,25-34 years,89.0,726400.0
Belgium,1983,female,35-54 years,288.0,1203100.0
Belgium,1983,female,5-14 years,2.0,640200.0
Belgium,1983,female,55-74 years,274.0,1021600.0
Belgium,1983,female,75+ years,105.0,389700.0
Belgium,1983,male,15-24 years,115.0,801900.0
Belgium,1983,male,25-34 years,272.0,759500.0
Belgium,1983,male,35-54 years,448.0,1206700.0
Belgium,1983,male,5-14 years,5.0,669600.0
Belgium,1983,male,55-74 years,435.0,862000.0
Belgium,1983,male,75+ years,176.0,202100.0
Belgium,1984,female,15-24 years,26.0,756400.0
Belgium,1984,female,25-34 years,97.0,730100.0
Belgium,1984,female,35-54 years,255.0,1211400.0
Belgium,1984,female,5-14 years,1.0,630100.0
Belgium,1984,female,55-74 years,295.0,1024200.0
Belgium,1984,female,75+ years,97.0,395800.0
Belgium,1984,male,15-24 years,139.0,787500.0
Belgium,1984,male,25-34 years,289.0,760900.0
Belgium,1984,male,35-54 years,482.0,1217400.0
Belgium,1984,male,5-14 years,7.0,659900.0
Belgium,1984,male,55-74 years,443.0,868100.0
Belgium,1984,male,75+ years,208.0,203900.0
Belgium,1985,female,15-24 years,33.0,744100.0
Belgium,1985,female,25-34 years,78.0,744000.0
Belgium,1985,female,35-54 years,252.0,1216200.0
Belgium,1985,female,5-14 years,1.0,615800.0
Belgium,1985,female,55-74 years,276.0,1029700.0
Belgium,1985,female,75+ years,119.0,409900.0
Belgium,1985,male,15-24 years,109.0,775300.0
Belgium,1985,male,25-34 years,245.0,775300.0
Belgium,1985,male,35-54 years,493.0,1228000.0
Belgium,1985,male,5-14 years,12.0,644100.0
Belgium,1985,male,55-74 years,449.0,876400.0
Belgium,1985,male,75+ years,214.0,210800.0
Belgium,1986,female,15-24 years,40.0,729100.0
Belgium,1986,female,25-34 years,76.0,755700.0
Belgium,1986,female,35-54 years,252.0,1221200.0
Belgium,1986,female,5-14 years,1.0,602600.0
Belgium,1986,female,55-74 years,255.0,1039500.0
Belgium,1986,female,75+ years,90.0,419600.0
Belgium,1986,male,15-24 years,118.0,760500.0
Belgium,1986,male,25-34 years,236.0,786200.0
Belgium,1986,male,35-54 years,476.0,1237100.0
Belgium,1986,male,5-14 years,3.0,630300.0
Belgium,1986,male,55-74 years,444.0,889900.0
Belgium,1986,male,75+ years,211.0,215400.0
Belgium,1987,female,15-24 years,35.0,725700.0
Belgium,1987,female,25-34 years,100.0,759300.0
Belgium,1987,female,35-54 years,215.0,1222000.0
Belgium,1987,female,5-14 years,0.0,599700.0
Belgium,1987,female,55-74 years,232.0,1040900.0
Belgium,1987,female,75+ years,113.0,422000.0
Belgium,1987,male,15-24 years,121.0,756300.0
Belgium,1987,male,25-34 years,273.0,789200.0
Belgium,1987,male,35-54 years,483.0,1239800.0
Belgium,1987,male,5-14 years,11.0,628100.0
Belgium,1987,male,55-74 years,433.0,893500.0
Belgium,1987,male,75+ years,222.0,214800.0
Belgium,1988,female,15-24 years,28.0,715900.0
Belgium,1988,female,25-34 years,86.0,767800.0
Belgium,1988,female,35-54 years,213.0,1229900.0
Belgium,1988,female,5-14 years,1.0,595000.0
Belgium,1988,female,55-74 years,211.0,1044800.0
Belgium,1988,female,75+ years,104.0,429200.0
Belgium,1988,male,15-24 years,113.0,745800.0
Belgium,1988,male,25-34 years,238.0,796900.0
Belgium,1988,male,35-54 years,423.0,1251300.0
Belgium,1988,male,5-14 years,8.0,624200.0
Belgium,1988,male,55-74 years,390.0,901500.0
Belgium,1988,male,75+ years,181.0,217000.0
Belgium,1989,female,15-24 years,27.0,700100.0
Belgium,1989,female,25-34 years,72.0,776100.0
Belgium,1989,female,35-54 years,190.0,1243700.0
Belgium,1989,female,5-14 years,2.0,591700.0
Belgium,1989,female,55-74 years,200.0,1048300.0
Belgium,1989,female,75+ years,91.0,436800.0
Belgium,1989,male,15-24 years,126.0,730000.0
Belgium,1989,male,25-34 years,215.0,805000.0
Belgium,1989,male,35-54 years,422.0,1267600.0
Belgium,1989,male,5-14 years,4.0,620700.0
Belgium,1989,male,55-74 years,351.0,908400.0
Belgium,1989,male,75+ years,220.0,220800.0
Belgium,1990,female,15-24 years,37.0,682800.0
Belgium,1990,female,25-34 years,81.0,781400.0
Belgium,1990,female,35-54 years,186.0,1259200.0
Belgium,1990,female,5-14 years,0.0,590000.0
Belgium,1990,female,55-74 years,193.0,1053000.0
Belgium,1990,female,75+ years,95.0,439600.0
Belgium,1990,male,15-24 years,109.0,711900.0
Belgium,1990,male,25-34 years,213.0,811000.0
Belgium,1990,male,35-54 years,422.0,1285200.0
Belgium,1990,male,5-14 years,2.0,618600.0
Belgium,1990,male,55-74 years,349.0,915100.0
Belgium,1990,male,75+ years,208.0,221900.0
Belgium,1991,female,15-24 years,23.0,667900.0
Belgium,1991,female,25-34 years,71.0,783200.0
Belgium,1991,female,35-54 years,184.0,1277400.0
Belgium,1991,female,5-14 years,1.0,589600.0
Belgium,1991,female,55-74 years,172.0,1063800.0
Belgium,1991,female,75+ years,76.0,436200.0
Belgium,1991,male,15-24 years,100.0,696300.0
Belgium,1991,male,25-34 years,235.0,813800.0
Belgium,1991,male,35-54 years,424.0,1304700.0
Belgium,1991,male,5-14 years,4.0,618500.0
Belgium,1991,male,55-74 years,310.0,925900.0
Belgium,1991,male,75+ years,205.0,219300.0
Belgium,1992,female,15-24 years,29.0,656700.0
Belgium,1992,female,25-34 years,69.0,782500.0
Belgium,1992,female,35-54 years,171.0,1296200.0
Belgium,1992,female,5-14 years,0.0,589400.0
Belgium,1992,female,55-74 years,202.0,1079300.0
Belgium,1992,female,75+ years,94.0,428600.0
Belgium,1992,male,15-24 years,114.0,683800.0
Belgium,1992,male,25-34 years,235.0,813500.0
Belgium,1992,male,35-54 years,450.0,1325000.0
Belgium,1992,male,5-14 years,5.0,619100.0
Belgium,1992,male,55-74 years,331.0,940200.0
Belgium,1992,male,75+ years,178.0,213800.0
Belgium,1993,female,15-24 years,33.0,648400.0
Belgium,1993,female,25-34 years,74.0,779500.0
Belgium,1993,female,35-54 years,196.0,1315100.0
Belgium,1993,female,5-14 years,1.0,589600.0
Belgium,1993,female,55-74 years,192.0,1097600.0
Belgium,1993,female,75+ years,94.0,419100.0
Belgium,1993,male,15-24 years,138.0,674100.0
Belgium,1993,male,25-34 years,276.0,810400.0
Belgium,1993,male,35-54 years,573.0,1346000.0
Belgium,1993,male,5-14 years,4.0,619900.0
Belgium,1993,male,55-74 years,365.0,956900.0
Belgium,1993,male,75+ years,196.0,206300.0
Belgium,1994,female,15-24 years,24.0,641000.0
Belgium,1994,female,25-34 years,83.0,774100.0
Belgium,1994,female,35-54 years,213.0,1334900.0
Belgium,1994,female,5-14 years,1.0,590400.0
Belgium,1994,female,55-74 years,185.0,1110600.0
Belgium,1994,female,75+ years,82.0,414900.0
Belgium,1994,male,15-24 years,151.0,665700.0
Belgium,1994,male,25-34 years,266.0,804200.0
Belgium,1994,male,35-54 years,538.0,1367300.0
Belgium,1994,male,5-14 years,10.0,620600.0
Belgium,1994,male,55-74 years,378.0,968900.0
Belgium,1994,male,75+ years,200.0,204800.0
Belgium,1995,female,15-24 years,39.0,634100.0
Belgium,1995,female,25-34 years,72.0,767500.0
Belgium,1995,female,35-54 years,222.0,1357900.0
Belgium,1995,female,5-14 years,3.0,591200.0
Belgium,1995,female,55-74 years,185.0,1108700.0
Belgium,1995,female,75+ years,84.0,422900.0
Belgium,1995,male,15-24 years,142.0,657100.0
Belgium,1995,male,25-34 years,244.0,795600.0
Belgium,1995,male,35-54 years,593.0,1390200.0
Belgium,1995,male,5-14 years,10.0,621100.0
Belgium,1995,male,55-74 years,392.0,969500.0
Belgium,1995,male,75+ years,169.0,211300.0
Belgium,1996,female,15-24 years,36.0,627412.0
Belgium,1996,female,25-34 years,77.0,760530.0
Belgium,1996,female,35-54 years,215.0,1386275.0
Belgium,1996,female,5-14 years,2.0,592477.0
Belgium,1996,female,55-74 years,157.0,1095398.0
Belgium,1996,female,75+ years,68.0,436450.0
Belgium,1996,male,15-24 years,140.0,649022.0
Belgium,1996,male,25-34 years,239.0,786754.0
Belgium,1996,male,35-54 years,551.0,1417838.0
Belgium,1996,male,5-14 years,3.0,622534.0
Belgium,1996,male,55-74 years,352.0,961063.0
Belgium,1996,male,75+ years,173.0,221792.0
Belgium,1997,female,15-24 years,34.0,624118.0
Belgium,1997,female,25-34 years,81.0,757131.0
Belgium,1997,female,35-54 years,238.0,1402471.0
Belgium,1997,female,5-14 years,0.0,593623.0
Belgium,1997,female,55-74 years,173.0,1087545.0
Belgium,1997,female,75+ years,69.0,443094.0
Belgium,1997,male,15-24 years,124.0,645571.0
Belgium,1997,male,25-34 years,273.0,782814.0
Belgium,1997,male,35-54 years,608.0,1433650.0
Belgium,1997,male,5-14 years,6.0,623586.0
Belgium,1997,male,55-74 years,343.0,955659.0
Belgium,1997,male,75+ years,197.0,226961.0
Belgium,1998,female,15-24 years,31.0,615839.0
Belgium,1998,female,25-34 years,56.0,741822.0
Belgium,1998,female,35-54 years,228.0,1440638.0
Belgium,1998,female,5-14 years,2.0,597469.0
Belgium,1998,female,55-74 years,154.0,1073492.0
Belgium,1998,female,75+ years,86.0,461159.0
Belgium,1998,male,15-24 years,136.0,636467.0
Belgium,1998,male,25-34 years,236.0,764850.0
Belgium,1998,male,35-54 years,571.0,1471297.0
Belgium,1998,male,5-14 years,5.0,626794.0
Belgium,1998,male,55-74 years,329.0,949378.0
Belgium,1998,male,75+ years,185.0,241792.0
Belgium,1999,female,15-24 years,26.0,613014.0
Belgium,1999,female,25-34 years,63.0,727178.0
Belgium,1999,female,35-54 years,198.0,1462303.0
Belgium,1999,female,5-14 years,2.0,598795.0
Belgium,1999,female,55-74 years,145.0,1069485.0
Belgium,1999,female,75+ years,62.0,473110.0
Belgium,1999,male,15-24 years,113.0,632892.0
Belgium,1999,male,25-34 years,204.0,748800.0
Belgium,1999,male,35-54 years,558.0,1492493.0
Belgium,1999,male,5-14 years,9.0,628075.0
Belgium,1999,male,55-74 years,329.0,950152.0
Belgium,1999,male,75+ years,148.0,251980.0
Belgium,2000,female,15-24 years,38.0,612148.0
Belgium,2000,female,25-34 years,69.0,711759.0
Belgium,2000,female,35-54 years,253.0,1481833.0
Belgium,2000,female,5-14 years,1.0,599175.0
Belgium,2000,female,55-74 years,180.0,1067181.0
Belgium,2000,female,75+ years,76.0,484631.0
Belgium,2000,male,15-24 years,139.0,631207.0
Belgium,2000,male,25-34 years,265.0,731332.0
